sex,height,weight,ape_index,years_climbing,grade,recent_grade,onsight_grade,climbing_sessions,hours_climbing,hours_training,hangboard_freq,hangboard_grips,hangboard_protocol,campusboard_freq,hours_campusboard,endurance_frequency,endurance_protocol,strength_freq,hours_strength,strength_protocol,max_pull,max_push,bmi
Male,173,70,-5,9,5,4,3,2,6,1,1,Half Crimp,Max weight,0,0,1,"Laps of routes, route climbing intervals",0,0,"Antagonists, Legs, Core, No other strength training",8,30,0.002338869
Male,186,88,-6,1.5,5,5,3,3,8,8,1,"Half Crimp, Open Crimp, Slopers",Repeaters,0,0,2,"Laps of routes, route climbing intervals, threshold intervals",3,4,"Antagonists, Core, Upper body pulling, Upper body pushing",9,25,0.002543647
Male,163,65,-2,5,11,9,7,4,12,4,1,"Open Crimp, Back 3, Front 2, Middle 2, Monos","Min Edge, Repeaters",2,1,0,I don't train for endurance,0,0,No other strength training,35,120,0.00244646
Male,176,60,-1,2.5,7,7,5,3,8,2,1,"Half Crimp, Front 3, Middle 2, Slopers",Repeaters,0,0,0,"Laps of routes, ARC",1,1,"Antagonists, Core, Upper body pushing",10,30,0.001936983
Male,190,82,-7,2.5,6,5,4,3,4,2,2,Half Crimp,Other protocol,0,0,2,"ARC, other",2,2,"Antagonists, Core, Upper body pulling, Upper body pushing",10,30,0.002271468
Male,177,66,-1,7.5,7,7,6,3,8,1,0,"Full Crimp, Half Crimp, Open Crimp, Front 3, Back 3, Front 2, Middle 2, Back 2, Slopers",Repeaters,0,0,1,"4x4, hangboard repeater protocols, Laps of routes, Feet on 'campusing'",1,1,"Antagonists, Core, Upper body pulling, Upper body pushing",20,40,0.002106674
Male,179,69,1,12,10,7,8,3,5,7,3,"Half Crimp, Open Crimp, Slopers",Repeaters,2,1,0,I don't train for endurance,3,5,"Antagonists, Core, Upper body pulling, Upper body pushing",12,20,0.002153491
Female,165.1,53,0,3.5,3,3,1,5,10,3,1,"Open Crimp, Front 2, Middle 2, Back 2",Repeaters,0,0,0,I don't train for endurance,3,2,"Antagonists, Core, Upper body pulling, Upper body pushing",5,11,0.001944383
Male,183,100,-2,2,6,5,4,2,4,0,0,"Half Crimp, Open Crimp, Front 3, Front 2, Middle 2, Slopers, Pinch",Repeaters,0,0,0,"4x4, systems boards, Laps of routes, ARC",2,2,"Legs, Core, Upper body pulling, Upper body pushing",12,70,0.002986055
Male,167,60,-12,3.5,9,9,4,3,6,3,3,Half Crimp,"Max weight, Repeaters",0,0,0,hangboard repeater protocols,2,2,"Core, Upper body pulling, Upper body pushing",13,22,0.002151386
